Title,Count of tasks_to_dwas.csv
Physical Therapists,36
Online Merchants,36
Nursing Assistants,36
Mental Health Counselors,36
Librarians and Media Collections Specialists,36
Industrial Engineering Technologists and Technicians,36
Fast Food and Counter Workers,36
Computer Numerically Controlled Tool Operators,36
Clinical and Counseling Psychologists,36
Cashiers,36
"Anthropology and Archeology Teachers, Postsecondary",36
Web Developers,37
Tellers,37
Self-Enrichment Teachers,37
Regulatory Affairs Managers,37
Registered Nurses,37
Real Estate Sales Agents,37
Radiologists,37
"Psychology Teachers, Postsecondary",37
"Nursing Instructors and Teachers, Postsecondary",37
Marine Engineers and Naval Architects,37
"Maintenance and Repair Workers, General",37
Human Resources Managers,37
First-Line Supervisors of Security Workers,37
Firefighters,37
Fire Inspectors and Investigators,37
Environmental Engineers,37
Electro-Mechanical and Mechatronics Technologists and Technicians,37
"Cutting and Slicing Machine Setters, Operators, and Tenders",37
"Court, Municipal, and License Clerks",37
Computer Systems Engineers/Architects,37
Architectural and Civil Drafters,37
Anthropologists and Archeologists,37
"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",37
Supply Chain Managers,38
"Special Education Teachers, Kindergarten",38
Radiologic Technologists and Technicians,38
"Plumbers, Pipefitters, and Steamfitters",38
Mechanical Engineering Technologists and Technicians,38
Machinists,38
Industrial Ecologists,38
Helpers--Production Workers,38
"Explosives Workers, Ordnance Handling Experts, and Blasters",38
